errors - discrete attributes,car,,chess,,splice ,,mushroom,,tic-tac-toe,
,training,test,training,test,training,test,training,test,training,test
default,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
EDC,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
ADC1,31.7%,13.9%,1.3%,0.8%,3.3%,7.8%,0.7%,0.0%,8.6%,70.2%
ADC2,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
ADC3,32.8%,24.9%,23.1%,19.5%,16.4%,24.8%,42.4%,64.6%,33.9%,36.7%
ADC4,31.7%,13.9%,1.3%,0.8%,31.5%,10.7%,42.2%,41.1%,8.6%,70.2%
ADC5,31.9%,23.2%,23.1%,19.5%,56.9%,6.0%,42.4%,64.6%,33.9%,36.7%
ADC6,31.7%,13.9%,1.3%,0.8%,31.5%,10.7%,42.2%,41.1%,8.6%,70.2%
EMA,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
SMA,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
AMA1,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
AMA2,34.6%,11.6%,0.6%,0.8%,3.3%,7.8%,0.7%,0.0%,26.9%,66.5%
AXA2,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%
AXA3,5.3%,22.9%,0.6%,0.8%,3.3%,7.8%,0.0%,0.0%,4.5%,69.1%